omny.fm へのリンク,日付,タイトル,コメント,MC,出演者1,出演者2,出演者3,音源編集,備考・メモ・作業された方のお名前(ハンドルネーム可)
https://omny.fm/shows/asahi/8-4-youtube-netflix-2021,"Sun, 10 Jan 2021 15:00:00 +0000",#8-4 黒船だ！ YoutubeにNetflix…どうなる2021年の音声配信,,神田大介,"八木太亮,株式会社オトナル代表取締役","中島晋也,総合プロデュース本部",,,Noriko Hiramatsu
https://omny.fm/shows/asahi/8821166f-74bd-44df-a1c0-ac9b005af6f5,"Sun, 17 Jan 2021 21:00:00 +0000",#9-1 ノモンハン取材記　戦跡で遭遇した敵の正体は、巨大なアレ,,神田大介,"永井靖二,編集委員",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/9-2,"Sun, 24 Jan 2021 21:00:00 +0000",#9-2 見つかった1939年のサイダー瓶　戦跡が示すソ連の圧倒,,神田大介,"永井靖二,編集委員",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/9-3,"Sun, 31 Jan 2021 21:00:00 +0000",#9-3 スターリンの猜疑心　陣地は山手線の外周より広かった,,神田大介,"永井靖二,編集委員",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/dc0ff4f5-61b9-48a5-82bd-acc5003a2734,"Sun, 07 Feb 2021 21:00:00 +0000",#10-1 遺体の「声」に導かれ　法医解剖医は真実をすくい出す,,神田大介,"山崎毅朗,山口総局",,,,冒頭に大野由衣さんの朗読があります。Noriko Hiramatsu　
https://omny.fm/shows/asahi/6ac5889c-8c98-4fd6-bbc7-accb018aae27,"Fri, 12 Feb 2021 21:00:00 +0000",（楽屋裏）新聞記者と事件取材①　やらなきゃいけないのかな,,真田嶺,神田大介,,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/69ce2168-ddea-4299-8f2a-accc00084dd4,"Sat, 13 Feb 2021 21:00:00 +0000",（楽屋裏）新聞記者と事件取材②　なんのためにやってるんだろ,,真田嶺,神田大介,,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/10-2-3,"Sun, 14 Feb 2021 21:00:00 +0000",#10-2 女の子のひじ、この赤いただれは　法医解剖医は見抜いた,,神田大介,"山崎毅朗,山口総局",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/11-1-100-1,"Tue, 16 Feb 2021 21:00:00 +0000",#11-1 これは100年に1度の激動かも　コロナが変えた料理のいま,,神田大介,"長沢美津子,編集委員",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/3t,"Fri, 19 Feb 2021 21:00:00 +0000",（楽屋裏）おまえは誰だ、神田大介①　キャスターいまさら紹介,,真田嶺,神田大介,,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/4-5,"Sat, 20 Feb 2021 21:00:00 +0000",（楽屋裏）おまえは誰だ、神田大介②　キャスターいまさら紹介,,真田嶺,神田大介,,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/7-4,"Sun, 21 Feb 2021 21:00:00 +0000",#7-4 口から食べたい、旅立ちの日まで　ケーキも酒も味わえる,,神田大介,"佐藤陽,文化くらし報道部",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/11-2-1,"Tue, 23 Feb 2021 21:00:00 +0000",#11-2 新聞に毎日載ってる「料理メモ」　小さい記事だけど、作るの大変なんです,,神田大介,"長沢美津子,編集委員",,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/2-5,"Fri, 26 Feb 2021 21:00:00 +0000",（楽屋裏）入社2年で県警キャップ、立てこもり事件が　真田嶺の自己紹介①,,真田嶺,神田大介,,,,Noriko Hiramatsu
https://omny.fm/shows/asahi/17b1d58f-68a7-4a09-8c38-acd700075934,"Sat, 27 Feb 2021 21:00:00 +0000",（楽屋裏）選挙、高校野球、あっ生きてるなと思った日　真田嶺の自己紹介②,,真田嶺,神田大介,,,,Noriko Hiramatsu
