omny.fm へのリンク,日付,タイトル,コメント,MC,出演者1,出演者2,出演者3,音源編集,備考・メモ・作業された方のお名前(ハンドルネーム可)
https://omny.fm/shows/asahi/1122,"Fri, 26 May 2023 19:00:00 +0000",朝日新聞社の歴史（番外編⑥）「襲われすぎ」の戦争前夜、テロ犯はまるでヒーローにも #1122,,神田大介,"阪本輝昭,コンテンツ編成本部大阪統括マネージャー（代理）",,,岸上渉,Anzu
https://omny.fm/shows/asahi/1123,"Sat, 27 May 2023 19:00:00 +0000",羽生・藤井対決の舞台　大阪・高槻なぜ棋士の聖地に？　関西将棋会館高槻移転 #1123,,向平真,"島脇健史,大阪ネットワーク報道本部",,,向平真,
https://omny.fm/shows/asahi/1124,"Sun, 28 May 2023 19:00:00 +0000",ispace袴田代表が語る、「失敗」と言わない哲学　月に向かって日進月歩 #1124,,神田大介,"袴田武史,ispace代表取締役CEO","玉木祥子,科学みらい部",,杢田光,
https://omny.fm/shows/asahi/1125,"Mon, 29 May 2023 19:00:00 +0000",自民党の家庭観、現実とズレていませんか　教育学で博士課程・石原正敬さん #1125,,神田大介,"秋山訓子,編集委員",,,杢田光,
https://omny.fm/shows/asahi/wt33,"Tue, 30 May 2023 07:55:00 +0000",笑い飯哲夫のしんぶん教室㉝ 高まる気温　スキー場の雪不足、世界的懸念,,"哲夫,笑い飯","小寺右子,ABCアナウンサー",,,向平真,Anzu
https://omny.fm/shows/asahi/50-1126,"Tue, 30 May 2023 19:00:00 +0000",沖縄に来た誰もが見ているはずの那覇軍港　50年ごしに動いた返還計画 #1126,,安田桂子,"木村司,ネットワーク報道本部,前那覇総局長",,,安田桂子,
https://omny.fm/shows/asahi/1127,"Wed, 31 May 2023 19:00:00 +0000",船への投資、盛り上がってます　「タイのイーロン・マスク」も乗り出した #1127,,神田大介,"大牟田透,朝日新聞GLOBE編集部",,,飯島啓史,
https://omny.fm/shows/asahi/1128,"Thu, 01 Jun 2023 19:00:00 +0000",ウォーホル「3億円の箱」はお買い得？　税金で買うアートに賛否 #1128,,向平真,"奥平真也,鳥取総局",,,向平真,
https://omny.fm/shows/asahi/1129,"Fri, 02 Jun 2023 19:00:00 +0000",書き言葉伝来ルーツを探せ　土器がダメなら硯がある？　弥生時代の文字（前編）#1129,,向平真,"中村俊介,編集委員",,,向平真,
https://omny.fm/shows/asahi/1130,"Sat, 03 Jun 2023 19:00:00 +0000",甲子園のブラバン演奏は、なぜ人を魅了するのか　「研究家」が断言するその 理由 #1130,,岸上渉,"梅津有希子,ライター,https://twitter.com/y_umetsu",,"河原田慎一,大阪ネットワーク報道本部",岸上渉,
https://omny.fm/shows/asahi/1131,"Sun, 04 Jun 2023 19:00:00 +0000",①G7首脳に届いたか　ゲンが、被爆者が訴えた「核兵器とは共存できない」 #1131,,宮沢賢一,神田大介,安田桂子,,安田桂子,
https://omny.fm/shows/asahi/1132,"Sun, 04 Jun 2023 19:05:00 +0000",②研究者が次々と雇い止めされている　働くって、大学ってなんだろう #1132,,宮沢賢一,神田大介,安田桂子,,杢田光,
https://omny.fm/shows/asahi/1133,"Sun, 04 Jun 2023 19:10:00 +0000",③薄れつつある政治への風刺　覚悟を持って言論と向き合いたい  #1133,,宮沢賢一,神田大介,安田桂子,,安田桂子,
https://omny.fm/shows/asahi/9-1134,"Mon, 05 Jun 2023 19:00:00 +0000",憲法9条は生きていますか、現実とズレてませんか　その価値は今どこに #1134,,安田桂子,"豊秀一,編集委員",,,安田桂子,
https://omny.fm/shows/asahi/wt34,"Tue, 06 Jun 2023 07:55:00 +0000",笑い飯哲夫のしんぶん教室㉞ ご長寿日本一、秘訣は坂道？,,"哲夫,笑い飯","小寺右子,ABCアナウンサー",,,向平真,Anzu
https://omny.fm/shows/asahi/1135,"Tue, 06 Jun 2023 19:00:00 +0000",「保育」が必修科目になればいいのに　主婦の地位、家事労働を考える #1135,,神田大介,"河原夏季,withnews編集部,https://twitter.com/n_kawahara725","高橋健次郎,くらし報道部,https://twitter.com/takahashi__k",,望月愛実,
https://omny.fm/shows/asahi/1136,"Wed, 07 Jun 2023 19:00:00 +0000",会見拒否する馳浩知事、裏に山積みの論点　地方メディアはどこへ行く #1136,,影山遼,"山田健悟,金沢総局,https://twitter.com/kengo_yama",,,杢田光,
https://omny.fm/shows/asahi/7-1137,"Thu, 08 Jun 2023 19:00:00 +0000",①7年ぶりの日本生活　コンビニ楽しい、手続き多すぎ、通勤しんどい #1137,,神田大介,"冨名腰隆,経済部",,,安田桂子,
